Month,FullTime,PartTime,Intern,Contract,Terminate,Operational Cost,Headcount,FullTime_Prop,PartTime_Prop,Intern_Prop,Contract_Prop,Turnover_Rate,Pandemic_Period_0,Pandemic_Period_1,Pandemic_Period_2
202208,270541,17346,1198,53226,4693,6409917956,342311,0.790336857,0.050673218,0.003499741,0.155490183,0.013709755,0,0,1
202209,273473,17311,1096,52928,3788,6439338266,344808,0.793116749,0.050204752,0.003178581,0.153499919,0.010985824,0,0,1
202210,275127,17353,1074,50560,3362,6311456310,344114,0.799522833,0.050428056,0.003121059,0.146928053,0.009770018,0,0,1
202211,276036,17068,1007,50037,3308,6417671530,344148,0.802085149,0.049594942,0.002926067,0.145393842,0.009612144,0,0,1
202212,277913,16754,1308,49329,2678,6293637497,345304,0.804835739,0.048519565,0.003787967,0.142856729,0.007755485,0,0,1
202301,279409,16684,1851,49488,2447,6597455281,347432,0.804212047,0.048020908,0.005327661,0.142439384,0.007043105,0,0,1
202302,279829,16579,1918,49806,2245,6748217560,348132,0.803801432,0.047622741,0.005509404,0.143066423,0.006448703,0,0,1
202303,280792,16357,2265,49491,4027,6761776468,348905,0.804780671,0.046880956,0.006491738,0.141846634,0.011541824,0,0,1
202304,281661,16433,2329,49499,3345,6515768436,349922,0.804925098,0.046961894,0.006655769,0.141457239,0.009559273,0,0,1
202305,283386,16381,6006,49814,3322,7013364432,355587,0.796952645,0.046067488,0.016890381,0.140089486,0.009342299,0,0,1
202306,290142,16580,5624,51298,3013,7292365709,363644,0.797873745,0.045594043,0.015465675,0.141066538,0.008285576,0,0,1
202307,291268,16588,1117,52301,3528,6943961563,361274,0.806224638,0.045915289,0.003091836,0.144768237,0.009765441,0,0,1
202308,291958,16604,1125,53114,3443,7125336887,362801,0.804733173,0.045766136,0.003100873,0.146399817,0.009490051,0,0,1
202309,293247,16655,1068,53343,3236,7688131046,364313,0.804931474,0.045716184,0.002931545,0.146420798,0.008882472,0,0,1
202310,293722,16676,1087,53685,2681,6993508343,365170,0.804343183,0.045666402,0.002976696,0.14701372,0.007341786,0,0,1
202311,293612,16484,937,53934,2562,9804054358,364967,0.804489173,0.045165727,0.002567355,0.147777744,0.007019813,0,0,1
202312,294960,16492,1492,53854,2460,7688805202,366798,0.804148332,0.044962077,0.004067634,0.146821956,0.006706689,0,0,1
